,RFClassifier,GBClassifier,LRClassifier,DTClassifier,XGBoostClassifier
Accuracy,0.9086715867158671,0.9289667896678967,0.9197416974169742,0.8477859778597786,0.9298892988929889
AUC,0.8250971209621627,0.7642807727103401,0.546852216486616,0.7217550955244532,0.8005321696556863
Gini,0.6501942419243254,0.5285615454206802,0.09370443297323194,0.4435101910489063,0.6010643393113726
Precision,0.47674418604651164,0.7045454545454546,0.9,0.30113636363636365,0.7021276595744681
F1,0.45303867403314924,0.4460431654676259,0.17142857142857143,0.39114391143911437,0.46478873239436624
Recall,0.43157894736842106,0.3263157894736842,0.09473684210526316,0.5578947368421052,0.3473684210526316
Brier,0.07193205918561735,0.06783609107603539,0.24876543386839725,0.12286498131117234,0.06356241917720774
