,Gender,Age,Tenure,Saving_Amount,Current_Amount,Time_Deposits_Amount,Funds_Amount,Stocks_Amount,Bank_Assurance_Amount,Life_Assurance_Amount,Business_Loan_Amount,Home_Loan_Amount,Consumer_Loan_Amount,Branch_Transactions,ATM_Transactions,Phone_Transactions,Internet_Transactions,Standing_Orders,New_Credit_Card_Flag
49,M,44,49,40.614286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.015714,9,0,0,0,0,1
50,M,51,49,0.0,0.0,0.0,0.0,0.0,108.227143,0.0,0.0,0.0,0.0,0,0,0,0,0,0
51,M,52,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6468.884286,11,9,0,0,0,1
52,M,45,49,23.857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3130.744286,0,4,0,0,0,0
53,M,42,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.085714,5,0,0,3,0,1
54,M,49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0,0,0,1
55,M,40,49,23.202857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3477.714286,0,1,0,0,0,0
56,M,57,49,0.0,126.912857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,0,0,0,0
57,F,48,49,21.132857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0
58,M,51,49,35.388571,0.0,0.0,0.0,0.0,470.097143,0.0,0.0,75866.298571,1572.947143,4,0,0,0,0,0
59,M,48,49,178.505714,152.445714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0,0,0
60,M,57,49,17.144286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.39,5,0,0,0,0,0
61,M,67,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.761429,0,0,0,0,0,0
62,M,42,49,0.0,814.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0
63,M,76,49,0.0,84.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2236.761429,9,0,0,0,0,0
64,M,65,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051429,0,0,0,0,0,0
65,F,45,49,75.614286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.914286,4,0,0,0,0,0
66,M,45,49,0.0,220.711429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4589.432857,0,42,0,0,0,0
67,M,56,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3398.755714,1,2,0,0,0,0
68,M,63,49,158.621429,0.0,0.0,0.0,0.0,54.08,0.0,0.0,1416.782857,0.0,4,0,0,0,0,0
69,M,73,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.9225,0,0,0,0,0,0
70,M,35,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657.312857,2,0,0,0,0,0
71,M,46,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4825.697143,0.0,1651.514286,15,0,0,0,0,1
72,M,51,49,5.05,0.0,0.0,0.0,381.171429,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
73,M,53,49,560.027143,0.0,0.0,0.0,0.0,380.245714,0.0,0.0,23692.904286,0.0,4,0,0,0,1,0
74,M,61,49,0.0,67.728571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0
75,F,60,49,0.342857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.474286,0.0,0,0,0,0,0,0
76,M,60,49,738.407143,0.0,0.0,0.0,305.345714,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
77,F,46,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624286,2,1,0,0,0,0
78,M,40,49,19.26,0.0,0.0,0.0,0.0,378.445714,0.0,0.0,31951.237143,1629.76,0,20,0,0,0,1
79,M,64,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4607.111429,10,3,0,0,0,1
80,M,50,49,0.0,31846.838571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8959.062857,5,0,0,0,0,0
81,M,49,49,40.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0
82,F,54,49,75.905714,0.0,0.0,0.0,0.0,0.0,0.0,2118.718571,0.0,7224.581429,19,1,0,0,0,1
83,F,55,49,39984.448571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7,17,0,0,0,0
84,M,38,49,511.08,18.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,0
85,M,46,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,1
86,M,50,49,0.0,373.811429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.232857,3,0,0,0,0,0
87,M,47,49,65.258571,3.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5776.758571,1,0,0,0,1,0
88,M,38,49,686.755714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0
89,M,46,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,1
90,M,52,49,89.217143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,0,0,0
91,M,40,49,1671.025714,1481.082857,0.0,0.0,1051.745714,0.0,0.0,0.0,0.0,1220.181429,45,0,0,0,9,0
92,M,67,49,96.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
93,M,44,122,0.0,589.907143,0.0,0.0,869.37,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
94,M,39,49,4523.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23,0,0,0,0
95,M,70,49,36.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0
96,M,65,49,31.067143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3259.482857,0,0,0,0,0,0
97,F,46,49,49.147143,0.0,0.0,0.0,0.0,232.16,846.725714,0.0,101074.32,1327.348571,3,0,0,0,1,0
98,M,35,49,1996.041429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,36,0,0,0,0
